plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
55,26726,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
55,26727,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
55,26728,connected,,,compute-001,be2-port0,server,be-rail-leaf-01,E1/2/1,leaf
55,26729,connected,,,compute-001,be3-port0,server,be-rail-leaf-01,E1/2/2,leaf
55,26730,connected,,,compute-001,be4-port0,server,be-rail-leaf-02,E1/1/1,leaf
55,26731,connected,,,compute-001,be5-port0,server,be-rail-leaf-02,E1/1/2,leaf
55,26732,connected,,,compute-001,be6-port0,server,be-rail-leaf-02,E1/2/1,leaf
55,26733,connected,,,compute-001,be7-port0,server,be-rail-leaf-02,E1/2/2,leaf
55,26734,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
55,26735,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
55,26736,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
55,26737,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
55,26738,connected,,,compute-002,be2-port0,server,be-rail-leaf-01,E1/4/1,leaf
55,26739,connected,,,compute-002,be3-port0,server,be-rail-leaf-01,E1/4/2,leaf
55,26740,connected,,,compute-002,be4-port0,server,be-rail-leaf-02,E1/3/1,leaf
55,26741,connected,,,compute-002,be5-port0,server,be-rail-leaf-02,E1/3/2,leaf
55,26742,connected,,,compute-002,be6-port0,server,be-rail-leaf-02,E1/4/1,leaf
55,26743,connected,,,compute-002,be7-port0,server,be-rail-leaf-02,E1/4/2,leaf
55,26744,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
55,26745,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
55,26746,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
55,26747,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
55,26748,connected,,,compute-003,be2-port0,server,be-rail-leaf-01,E1/6/1,leaf
55,26749,connected,,,compute-003,be3-port0,server,be-rail-leaf-01,E1/6/2,leaf
55,26750,connected,,,compute-003,be4-port0,server,be-rail-leaf-02,E1/5/1,leaf
55,26751,connected,,,compute-003,be5-port0,server,be-rail-leaf-02,E1/5/2,leaf
55,26752,connected,,,compute-003,be6-port0,server,be-rail-leaf-02,E1/6/1,leaf
55,26753,connected,,,compute-003,be7-port0,server,be-rail-leaf-02,E1/6/2,leaf
55,26754,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
55,26755,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
55,26756,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
55,26757,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/7/2,leaf
55,26758,connected,,,compute-004,be2-port0,server,be-rail-leaf-01,E1/8/1,leaf
55,26759,connected,,,compute-004,be3-port0,server,be-rail-leaf-01,E1/8/2,leaf
55,26760,connected,,,compute-004,be4-port0,server,be-rail-leaf-02,E1/7/1,leaf
55,26761,connected,,,compute-004,be5-port0,server,be-rail-leaf-02,E1/7/2,leaf
55,26762,connected,,,compute-004,be6-port0,server,be-rail-leaf-02,E1/8/1,leaf
55,26763,connected,,,compute-004,be7-port0,server,be-rail-leaf-02,E1/8/2,leaf
55,26764,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
55,26765,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
55,26766,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/9/1,leaf
55,26767,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/9/2,leaf
55,26768,connected,,,compute-005,be2-port0,server,be-rail-leaf-01,E1/10/1,leaf
55,26769,connected,,,compute-005,be3-port0,server,be-rail-leaf-01,E1/10/2,leaf
55,26770,connected,,,compute-005,be4-port0,server,be-rail-leaf-02,E1/9/1,leaf
55,26771,connected,,,compute-005,be5-port0,server,be-rail-leaf-02,E1/9/2,leaf
55,26772,connected,,,compute-005,be6-port0,server,be-rail-leaf-02,E1/10/1,leaf
55,26773,connected,,,compute-005,be7-port0,server,be-rail-leaf-02,E1/10/2,leaf
55,26774,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
55,26775,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
55,26776,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/11/1,leaf
55,26777,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/11/2,leaf
55,26778,connected,,,compute-006,be2-port0,server,be-rail-leaf-01,E1/12/1,leaf
55,26779,connected,,,compute-006,be3-port0,server,be-rail-leaf-01,E1/12/2,leaf
55,26780,connected,,,compute-006,be4-port0,server,be-rail-leaf-02,E1/11/1,leaf
55,26781,connected,,,compute-006,be5-port0,server,be-rail-leaf-02,E1/11/2,leaf
55,26782,connected,,,compute-006,be6-port0,server,be-rail-leaf-02,E1/12/1,leaf
55,26783,connected,,,compute-006,be7-port0,server,be-rail-leaf-02,E1/12/2,leaf
55,26784,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
55,26785,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
55,26786,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/13/1,leaf
55,26787,connected,,,compute-007,be1-port0,server,be-rail-leaf-01,E1/13/2,leaf
55,26788,connected,,,compute-007,be2-port0,server,be-rail-leaf-01,E1/14/1,leaf
55,26789,connected,,,compute-007,be3-port0,server,be-rail-leaf-01,E1/14/2,leaf
55,26790,connected,,,compute-007,be4-port0,server,be-rail-leaf-02,E1/13/1,leaf
55,26791,connected,,,compute-007,be5-port0,server,be-rail-leaf-02,E1/13/2,leaf
55,26792,connected,,,compute-007,be6-port0,server,be-rail-leaf-02,E1/14/1,leaf
55,26793,connected,,,compute-007,be7-port0,server,be-rail-leaf-02,E1/14/2,leaf
55,26794,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
55,26795,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
55,26796,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/15/1,leaf
55,26797,connected,,,compute-008,be1-port0,server,be-rail-leaf-01,E1/15/2,leaf
55,26798,connected,,,compute-008,be2-port0,server,be-rail-leaf-01,E1/16/1,leaf
55,26799,connected,,,compute-008,be3-port0,server,be-rail-leaf-01,E1/16/2,leaf
55,26800,connected,,,compute-008,be4-port0,server,be-rail-leaf-02,E1/15/1,leaf
55,26801,connected,,,compute-008,be5-port0,server,be-rail-leaf-02,E1/15/2,leaf
