plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
12,1679,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
12,1680,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
12,1681,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
12,1682,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
12,1683,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
12,1684,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
12,1685,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
12,1686,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
12,1687,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
12,1688,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
12,1689,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
12,1690,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
12,1691,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
12,1692,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
12,1693,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
12,1694,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
12,1695,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
12,1696,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
12,1697,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
12,1698,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
12,1699,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
12,1700,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
12,1701,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
12,1702,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
12,1703,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
12,1704,connected,,,compute-003,be5-port0,server,be-leaf-02,E1/5/2,leaf
12,1705,connected,,,compute-003,be6-port0,server,be-leaf-02,E1/6/1,leaf
12,1706,connected,,,compute-003,be7-port0,server,be-leaf-02,E1/6/2,leaf
12,1707,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
12,1708,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
12,1709,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/7/1,leaf
12,1710,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/7/2,leaf
12,1711,connected,,,compute-004,be2-port0,server,be-leaf-01,E1/8/1,leaf
12,1712,connected,,,compute-004,be3-port0,server,be-leaf-01,E1/8/2,leaf
12,1713,connected,,,compute-004,be4-port0,server,be-leaf-02,E1/7/1,leaf
12,1714,connected,,,compute-004,be5-port0,server,be-leaf-02,E1/7/2,leaf
12,1715,connected,,,compute-004,be6-port0,server,be-leaf-02,E1/8/1,leaf
12,1716,connected,,,compute-004,be7-port0,server,be-leaf-02,E1/8/2,leaf
12,1717,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
12,1718,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
12,1719,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/9/1,leaf
12,1720,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/9/2,leaf
12,1721,connected,,,compute-005,be2-port0,server,be-leaf-01,E1/10/1,leaf
12,1722,connected,,,compute-005,be3-port0,server,be-leaf-01,E1/10/2,leaf
12,1723,connected,,,compute-005,be4-port0,server,be-leaf-02,E1/9/1,leaf
12,1724,connected,,,compute-005,be5-port0,server,be-leaf-02,E1/9/2,leaf
12,1725,connected,,,compute-005,be6-port0,server,be-leaf-02,E1/10/1,leaf
12,1726,connected,,,compute-005,be7-port0,server,be-leaf-02,E1/10/2,leaf
12,1727,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
12,1728,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
12,1729,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/11/1,leaf
12,1730,connected,,,compute-006,be1-port0,server,be-leaf-01,E1/11/2,leaf
12,1731,connected,,,compute-006,be2-port0,server,be-leaf-01,E1/12/1,leaf
12,1732,connected,,,compute-006,be3-port0,server,be-leaf-01,E1/12/2,leaf
12,1733,connected,,,compute-006,be4-port0,server,be-leaf-02,E1/11/1,leaf
12,1734,connected,,,compute-006,be5-port0,server,be-leaf-02,E1/11/2,leaf
