plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
56,27014,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
56,27015,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
56,27016,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
56,27017,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
56,27018,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
56,27019,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
56,27020,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
56,27021,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
56,27022,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
56,27023,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
56,27024,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
56,27025,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
56,27026,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
56,27027,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
56,27028,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
56,27029,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
56,27030,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
56,27031,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
56,27032,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
56,27033,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
56,27034,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
56,27035,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
56,27036,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
56,27037,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
56,27038,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
