plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
27,4943,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
27,4944,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
27,4945,connected,,,compute-001,be2-port0,server,be-leaf-01,E1/2/1,leaf
27,4946,connected,,,compute-001,be3-port0,server,be-leaf-01,E1/2/2,leaf
27,4947,connected,,,compute-001,be4-port0,server,be-leaf-02,E1/1/1,leaf
27,4948,connected,,,compute-001,be5-port0,server,be-leaf-02,E1/1/2,leaf
27,4949,connected,,,compute-001,be6-port0,server,be-leaf-02,E1/2/1,leaf
27,4950,connected,,,compute-001,be7-port0,server,be-leaf-02,E1/2/2,leaf
27,4951,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
27,4952,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
27,4953,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/3/1,leaf
27,4954,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/3/2,leaf
27,4955,connected,,,compute-002,be2-port0,server,be-leaf-01,E1/4/1,leaf
27,4956,connected,,,compute-002,be3-port0,server,be-leaf-01,E1/4/2,leaf
27,4957,connected,,,compute-002,be4-port0,server,be-leaf-02,E1/3/1,leaf
27,4958,connected,,,compute-002,be5-port0,server,be-leaf-02,E1/3/2,leaf
27,4959,connected,,,compute-002,be6-port0,server,be-leaf-02,E1/4/1,leaf
27,4960,connected,,,compute-002,be7-port0,server,be-leaf-02,E1/4/2,leaf
27,4961,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
27,4962,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
27,4963,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/5/1,leaf
27,4964,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/5/2,leaf
27,4965,connected,,,compute-003,be2-port0,server,be-leaf-01,E1/6/1,leaf
27,4966,connected,,,compute-003,be3-port0,server,be-leaf-01,E1/6/2,leaf
27,4967,connected,,,compute-003,be4-port0,server,be-leaf-02,E1/5/1,leaf
27,4968,connected,,,compute-003,be5-port0,server,be-leaf-02,E1/5/2,leaf
27,4969,connected,,,compute-003,be6-port0,server,be-leaf-02,E1/6/1,leaf
27,4970,connected,,,compute-003,be7-port0,server,be-leaf-02,E1/6/2,leaf
27,4971,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
27,4972,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
27,4973,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/7/1,leaf
27,4974,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/7/2,leaf
27,4975,connected,,,compute-004,be2-port0,server,be-leaf-01,E1/8/1,leaf
27,4976,connected,,,compute-004,be3-port0,server,be-leaf-01,E1/8/2,leaf
27,4977,connected,,,compute-004,be4-port0,server,be-leaf-02,E1/7/1,leaf
27,4978,connected,,,compute-004,be5-port0,server,be-leaf-02,E1/7/2,leaf
27,4979,connected,,,compute-004,be6-port0,server,be-leaf-02,E1/8/1,leaf
27,4980,connected,,,compute-004,be7-port0,server,be-leaf-02,E1/8/2,leaf
27,4981,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
27,4982,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
27,4983,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/9/1,leaf
27,4984,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/9/2,leaf
27,4985,connected,,,compute-005,be2-port0,server,be-leaf-01,E1/10/1,leaf
27,4986,connected,,,compute-005,be3-port0,server,be-leaf-01,E1/10/2,leaf
27,4987,connected,,,compute-005,be4-port0,server,be-leaf-02,E1/9/1,leaf
27,4988,connected,,,compute-005,be5-port0,server,be-leaf-02,E1/9/2,leaf
27,4989,connected,,,compute-005,be6-port0,server,be-leaf-02,E1/10/1,leaf
27,4990,connected,,,compute-005,be7-port0,server,be-leaf-02,E1/10/2,leaf
27,4991,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
27,4992,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
27,4993,connected,,,compute-006,be0-port0,server,be-leaf-01,E1/11/1,leaf
27,4994,connected,,,compute-006,be1-port0,server,be-leaf-01,E1/11/2,leaf
27,4995,connected,,,compute-006,be2-port0,server,be-leaf-01,E1/12/1,leaf
27,4996,connected,,,compute-006,be3-port0,server,be-leaf-01,E1/12/2,leaf
27,4997,connected,,,compute-006,be4-port0,server,be-leaf-02,E1/11/1,leaf
27,4998,connected,,,compute-006,be5-port0,server,be-leaf-02,E1/11/2,leaf
27,4999,connected,,,compute-006,be6-port0,server,be-leaf-02,E1/12/1,leaf
27,5000,connected,,,compute-006,be7-port0,server,be-leaf-02,E1/12/2,leaf
27,5001,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
27,5002,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
27,5003,connected,,,compute-007,be0-port0,server,be-leaf-01,E1/13/1,leaf
27,5004,connected,,,compute-007,be1-port0,server,be-leaf-01,E1/13/2,leaf
27,5005,connected,,,compute-007,be2-port0,server,be-leaf-01,E1/14/1,leaf
27,5006,connected,,,compute-007,be3-port0,server,be-leaf-01,E1/14/2,leaf
27,5007,connected,,,compute-007,be4-port0,server,be-leaf-02,E1/13/1,leaf
27,5008,connected,,,compute-007,be5-port0,server,be-leaf-02,E1/13/2,leaf
27,5009,connected,,,compute-007,be6-port0,server,be-leaf-02,E1/14/1,leaf
27,5010,connected,,,compute-007,be7-port0,server,be-leaf-02,E1/14/2,leaf
27,5011,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
27,5012,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
27,5013,connected,,,compute-008,be0-port0,server,be-leaf-01,E1/15/1,leaf
27,5014,connected,,,compute-008,be1-port0,server,be-leaf-01,E1/15/2,leaf
27,5015,connected,,,compute-008,be2-port0,server,be-leaf-01,E1/16/1,leaf
27,5016,connected,,,compute-008,be3-port0,server,be-leaf-01,E1/16/2,leaf
27,5017,connected,,,compute-008,be4-port0,server,be-leaf-02,E1/15/1,leaf
27,5018,connected,,,compute-008,be5-port0,server,be-leaf-02,E1/15/2,leaf
27,5019,connected,,,compute-008,be6-port0,server,be-leaf-02,E1/16/1,leaf
