plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
14,1967,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
14,1968,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
14,1969,connected,,,compute-001,be2-port0,server,be-rail-leaf-02,E1/1/1,leaf
14,1970,connected,,,compute-001,be3-port0,server,be-rail-leaf-02,E1/1/2,leaf
14,1971,connected,,,compute-001,be4-port0,server,be-rail-leaf-03,E1/1/1,leaf
14,1972,connected,,,compute-001,be5-port0,server,be-rail-leaf-03,E1/1/2,leaf
14,1973,connected,,,compute-001,be6-port0,server,be-rail-leaf-04,E1/1/1,leaf
14,1974,connected,,,compute-001,be7-port0,server,be-rail-leaf-04,E1/1/2,leaf
14,1975,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
14,1976,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
14,1977,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
14,1978,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/2/2,leaf
14,1979,connected,,,compute-002,be2-port0,server,be-rail-leaf-02,E1/2/1,leaf
14,1980,connected,,,compute-002,be3-port0,server,be-rail-leaf-02,E1/2/2,leaf
14,1981,connected,,,compute-002,be4-port0,server,be-rail-leaf-03,E1/2/1,leaf
14,1982,connected,,,compute-002,be5-port0,server,be-rail-leaf-03,E1/2/2,leaf
14,1983,connected,,,compute-002,be6-port0,server,be-rail-leaf-04,E1/2/1,leaf
14,1984,connected,,,compute-002,be7-port0,server,be-rail-leaf-04,E1/2/2,leaf
14,1985,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
14,1986,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
14,1987,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
14,1988,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
14,1989,connected,,,compute-003,be2-port0,server,be-rail-leaf-02,E1/3/1,leaf
14,1990,connected,,,compute-003,be3-port0,server,be-rail-leaf-02,E1/3/2,leaf
14,1991,connected,,,compute-003,be4-port0,server,be-rail-leaf-03,E1/3/1,leaf
14,1992,connected,,,compute-003,be5-port0,server,be-rail-leaf-03,E1/3/2,leaf
14,1993,connected,,,compute-003,be6-port0,server,be-rail-leaf-04,E1/3/1,leaf
14,1994,connected,,,compute-003,be7-port0,server,be-rail-leaf-04,E1/3/2,leaf
14,1995,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
14,1996,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
14,1997,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
14,1998,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/4/2,leaf
14,1999,connected,,,compute-004,be2-port0,server,be-rail-leaf-02,E1/4/1,leaf
14,2000,connected,,,compute-004,be3-port0,server,be-rail-leaf-02,E1/4/2,leaf
14,2001,connected,,,compute-004,be4-port0,server,be-rail-leaf-03,E1/4/1,leaf
14,2002,connected,,,compute-004,be5-port0,server,be-rail-leaf-03,E1/4/2,leaf
14,2003,connected,,,compute-004,be6-port0,server,be-rail-leaf-04,E1/4/1,leaf
14,2004,connected,,,compute-004,be7-port0,server,be-rail-leaf-04,E1/4/2,leaf
14,2005,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
14,2006,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
14,2007,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
14,2008,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
14,2009,connected,,,compute-005,be2-port0,server,be-rail-leaf-02,E1/5/1,leaf
14,2010,connected,,,compute-005,be3-port0,server,be-rail-leaf-02,E1/5/2,leaf
