plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
57,27302,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
57,27303,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
57,27304,connected,,,compute-001,be2-port0,server,be-rail-leaf-02,E1/1/1,leaf
57,27305,connected,,,compute-001,be3-port0,server,be-rail-leaf-02,E1/1/2,leaf
57,27306,connected,,,compute-001,be4-port0,server,be-rail-leaf-03,E1/1/1,leaf
57,27307,connected,,,compute-001,be5-port0,server,be-rail-leaf-03,E1/1/2,leaf
57,27308,connected,,,compute-001,be6-port0,server,be-rail-leaf-04,E1/1/1,leaf
57,27309,connected,,,compute-001,be7-port0,server,be-rail-leaf-04,E1/1/2,leaf
57,27310,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
57,27311,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
57,27312,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
57,27313,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/2/2,leaf
57,27314,connected,,,compute-002,be2-port0,server,be-rail-leaf-02,E1/2/1,leaf
57,27315,connected,,,compute-002,be3-port0,server,be-rail-leaf-02,E1/2/2,leaf
57,27316,connected,,,compute-002,be4-port0,server,be-rail-leaf-03,E1/2/1,leaf
57,27317,connected,,,compute-002,be5-port0,server,be-rail-leaf-03,E1/2/2,leaf
57,27318,connected,,,compute-002,be6-port0,server,be-rail-leaf-04,E1/2/1,leaf
57,27319,connected,,,compute-002,be7-port0,server,be-rail-leaf-04,E1/2/2,leaf
57,27320,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
57,27321,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
57,27322,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
57,27323,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
57,27324,connected,,,compute-003,be2-port0,server,be-rail-leaf-02,E1/3/1,leaf
57,27325,connected,,,compute-003,be3-port0,server,be-rail-leaf-02,E1/3/2,leaf
57,27326,connected,,,compute-003,be4-port0,server,be-rail-leaf-03,E1/3/1,leaf
57,27327,connected,,,compute-003,be5-port0,server,be-rail-leaf-03,E1/3/2,leaf
57,27328,connected,,,compute-003,be6-port0,server,be-rail-leaf-04,E1/3/1,leaf
57,27329,connected,,,compute-003,be7-port0,server,be-rail-leaf-04,E1/3/2,leaf
57,27330,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
57,27331,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
57,27332,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
57,27333,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/4/2,leaf
57,27334,connected,,,compute-004,be2-port0,server,be-rail-leaf-02,E1/4/1,leaf
57,27335,connected,,,compute-004,be3-port0,server,be-rail-leaf-02,E1/4/2,leaf
57,27336,connected,,,compute-004,be4-port0,server,be-rail-leaf-03,E1/4/1,leaf
57,27337,connected,,,compute-004,be5-port0,server,be-rail-leaf-03,E1/4/2,leaf
57,27338,connected,,,compute-004,be6-port0,server,be-rail-leaf-04,E1/4/1,leaf
57,27339,connected,,,compute-004,be7-port0,server,be-rail-leaf-04,E1/4/2,leaf
57,27340,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
57,27341,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
57,27342,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
57,27343,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
57,27344,connected,,,compute-005,be2-port0,server,be-rail-leaf-02,E1/5/1,leaf
57,27345,connected,,,compute-005,be3-port0,server,be-rail-leaf-02,E1/5/2,leaf
57,27346,connected,,,compute-005,be4-port0,server,be-rail-leaf-03,E1/5/1,leaf
57,27347,connected,,,compute-005,be5-port0,server,be-rail-leaf-03,E1/5/2,leaf
57,27348,connected,,,compute-005,be6-port0,server,be-rail-leaf-04,E1/5/1,leaf
57,27349,connected,,,compute-005,be7-port0,server,be-rail-leaf-04,E1/5/2,leaf
57,27350,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
57,27351,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
57,27352,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/6/1,leaf
57,27353,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/6/2,leaf
57,27354,connected,,,compute-006,be2-port0,server,be-rail-leaf-02,E1/6/1,leaf
57,27355,connected,,,compute-006,be3-port0,server,be-rail-leaf-02,E1/6/2,leaf
57,27356,connected,,,compute-006,be4-port0,server,be-rail-leaf-03,E1/6/1,leaf
57,27357,connected,,,compute-006,be5-port0,server,be-rail-leaf-03,E1/6/2,leaf
57,27358,connected,,,compute-006,be6-port0,server,be-rail-leaf-04,E1/6/1,leaf
57,27359,connected,,,compute-006,be7-port0,server,be-rail-leaf-04,E1/6/2,leaf
57,27360,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
57,27361,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
57,27362,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
57,27363,connected,,,compute-007,be1-port0,server,be-rail-leaf-01,E1/7/2,leaf
57,27364,connected,,,compute-007,be2-port0,server,be-rail-leaf-02,E1/7/1,leaf
57,27365,connected,,,compute-007,be3-port0,server,be-rail-leaf-02,E1/7/2,leaf
57,27366,connected,,,compute-007,be4-port0,server,be-rail-leaf-03,E1/7/1,leaf
57,27367,connected,,,compute-007,be5-port0,server,be-rail-leaf-03,E1/7/2,leaf
57,27368,connected,,,compute-007,be6-port0,server,be-rail-leaf-04,E1/7/1,leaf
57,27369,connected,,,compute-007,be7-port0,server,be-rail-leaf-04,E1/7/2,leaf
57,27370,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
57,27371,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
57,27372,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/8/1,leaf
57,27373,connected,,,compute-008,be1-port0,server,be-rail-leaf-01,E1/8/2,leaf
57,27374,connected,,,compute-008,be2-port0,server,be-rail-leaf-02,E1/8/1,leaf
57,27375,connected,,,compute-008,be3-port0,server,be-rail-leaf-02,E1/8/2,leaf
57,27376,connected,,,compute-008,be4-port0,server,be-rail-leaf-03,E1/8/1,leaf
57,27377,connected,,,compute-008,be5-port0,server,be-rail-leaf-03,E1/8/2,leaf
57,27378,connected,,,compute-008,be6-port0,server,be-rail-leaf-04,E1/8/1,leaf
57,27379,connected,,,compute-008,be7-port0,server,be-rail-leaf-04,E1/8/2,leaf
57,27380,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
57,27381,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
57,27382,connected,,,compute-009,be0-port0,server,be-rail-leaf-01,E1/9/1,leaf
57,27383,connected,,,compute-009,be1-port0,server,be-rail-leaf-01,E1/9/2,leaf
57,27384,connected,,,compute-009,be2-port0,server,be-rail-leaf-02,E1/9/1,leaf
57,27385,connected,,,compute-009,be3-port0,server,be-rail-leaf-02,E1/9/2,leaf
57,27386,connected,,,compute-009,be4-port0,server,be-rail-leaf-03,E1/9/1,leaf
57,27387,connected,,,compute-009,be5-port0,server,be-rail-leaf-03,E1/9/2,leaf
57,27388,connected,,,compute-009,be6-port0,server,be-rail-leaf-04,E1/9/1,leaf
57,27389,connected,,,compute-009,be7-port0,server,be-rail-leaf-04,E1/9/2,leaf
57,27390,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
57,27391,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
57,27392,connected,,,compute-010,be0-port0,server,be-rail-leaf-01,E1/10/1,leaf
57,27393,connected,,,compute-010,be1-port0,server,be-rail-leaf-01,E1/10/2,leaf
57,27394,connected,,,compute-010,be2-port0,server,be-rail-leaf-02,E1/10/1,leaf
57,27395,connected,,,compute-010,be3-port0,server,be-rail-leaf-02,E1/10/2,leaf
57,27396,connected,,,compute-010,be4-port0,server,be-rail-leaf-03,E1/10/1,leaf
57,27397,connected,,,compute-010,be5-port0,server,be-rail-leaf-03,E1/10/2,leaf
57,27398,connected,,,compute-010,be6-port0,server,be-rail-leaf-04,E1/10/1,leaf
57,27399,connected,,,compute-010,be7-port0,server,be-rail-leaf-04,E1/10/2,leaf
57,27400,connected,,,compute-010,fe-p0,server,fe-leaf-01,E1/5/2,leaf
57,27401,connected,,,compute-010,fe-p1,server,fe-leaf-02,E1/5/2,leaf
57,27402,connected,,,compute-011,be0-port0,server,be-rail-leaf-01,E1/11/1,leaf
57,27403,connected,,,compute-011,be1-port0,server,be-rail-leaf-01,E1/11/2,leaf
57,27404,connected,,,compute-011,be2-port0,server,be-rail-leaf-02,E1/11/1,leaf
57,27405,connected,,,compute-011,be3-port0,server,be-rail-leaf-02,E1/11/2,leaf
57,27406,connected,,,compute-011,be4-port0,server,be-rail-leaf-03,E1/11/1,leaf
57,27407,connected,,,compute-011,be5-port0,server,be-rail-leaf-03,E1/11/2,leaf
57,27408,connected,,,compute-011,be6-port0,server,be-rail-leaf-04,E1/11/1,leaf
57,27409,connected,,,compute-011,be7-port0,server,be-rail-leaf-04,E1/11/2,leaf
57,27410,connected,,,compute-011,fe-p0,server,fe-leaf-01,E1/5/3,leaf
57,27411,connected,,,compute-011,fe-p1,server,fe-leaf-02,E1/5/3,leaf
57,27412,connected,,,compute-012,be0-port0,server,be-rail-leaf-01,E1/12/1,leaf
57,27413,connected,,,compute-012,be1-port0,server,be-rail-leaf-01,E1/12/2,leaf
57,27414,connected,,,compute-012,be2-port0,server,be-rail-leaf-02,E1/12/1,leaf
57,27415,connected,,,compute-012,be3-port0,server,be-rail-leaf-02,E1/12/2,leaf
57,27416,connected,,,compute-012,be4-port0,server,be-rail-leaf-03,E1/12/1,leaf
57,27417,connected,,,compute-012,be5-port0,server,be-rail-leaf-03,E1/12/2,leaf
57,27418,connected,,,compute-012,be6-port0,server,be-rail-leaf-04,E1/12/1,leaf
57,27419,connected,,,compute-012,be7-port0,server,be-rail-leaf-04,E1/12/2,leaf
57,27420,connected,,,compute-012,fe-p0,server,fe-leaf-01,E1/5/4,leaf
57,27421,connected,,,compute-012,fe-p1,server,fe-leaf-02,E1/5/4,leaf
57,27422,connected,,,compute-013,be0-port0,server,be-rail-leaf-01,E1/13/1,leaf
57,27423,connected,,,compute-013,be1-port0,server,be-rail-leaf-01,E1/13/2,leaf
57,27424,connected,,,compute-013,be2-port0,server,be-rail-leaf-02,E1/13/1,leaf
57,27425,connected,,,compute-013,be3-port0,server,be-rail-leaf-02,E1/13/2,leaf
57,27426,connected,,,compute-013,be4-port0,server,be-rail-leaf-03,E1/13/1,leaf
57,27427,connected,,,compute-013,be5-port0,server,be-rail-leaf-03,E1/13/2,leaf
57,27428,connected,,,compute-013,be6-port0,server,be-rail-leaf-04,E1/13/1,leaf
57,27429,connected,,,compute-013,be7-port0,server,be-rail-leaf-04,E1/13/2,leaf
57,27430,connected,,,compute-013,fe-p0,server,fe-leaf-01,E1/7/1,leaf
57,27431,connected,,,compute-013,fe-p1,server,fe-leaf-02,E1/7/1,leaf
