plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
16,2479,connected,,,compute-001,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/1,leaf
16,2480,connected,,,compute-001,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/1,leaf
16,2481,connected,,,compute-001,be-gpu1-port0,server,be-plane-a-leaf-01,E1/1/2,leaf
16,2482,connected,,,compute-001,be-gpu1-port1,server,be-plane-b-leaf-01,E1/1/2,leaf
16,2483,connected,,,compute-001,be-gpu2-port0,server,be-plane-a-leaf-02,E1/1/1,leaf
16,2484,connected,,,compute-001,be-gpu2-port1,server,be-plane-b-leaf-02,E1/1/1,leaf
16,2485,connected,,,compute-001,be-gpu3-port0,server,be-plane-a-leaf-02,E1/1/2,leaf
16,2486,connected,,,compute-001,be-gpu3-port1,server,be-plane-b-leaf-02,E1/1/2,leaf
16,2487,connected,,,compute-001,be-gpu4-port0,server,be-plane-a-leaf-03,E1/1/1,leaf
16,2488,connected,,,compute-001,be-gpu4-port1,server,be-plane-b-leaf-03,E1/1/1,leaf
16,2489,connected,,,compute-001,be-gpu5-port0,server,be-plane-a-leaf-03,E1/1/2,leaf
16,2490,connected,,,compute-001,be-gpu5-port1,server,be-plane-b-leaf-03,E1/1/2,leaf
16,2491,connected,,,compute-001,be-gpu6-port0,server,be-plane-a-leaf-04,E1/1/1,leaf
16,2492,connected,,,compute-001,be-gpu6-port1,server,be-plane-b-leaf-04,E1/1/1,leaf
16,2493,connected,,,compute-001,be-gpu7-port0,server,be-plane-a-leaf-04,E1/1/2,leaf
16,2494,connected,,,compute-001,be-gpu7-port1,server,be-plane-b-leaf-04,E1/1/2,leaf
16,2495,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
16,2496,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
16,2497,connected,,,compute-002,be-gpu0-port0,server,be-plane-a-leaf-01,E1/2/1,leaf
16,2498,connected,,,compute-002,be-gpu0-port1,server,be-plane-b-leaf-01,E1/2/1,leaf
16,2499,connected,,,compute-002,be-gpu1-port0,server,be-plane-a-leaf-01,E1/2/2,leaf
16,2500,connected,,,compute-002,be-gpu1-port1,server,be-plane-b-leaf-01,E1/2/2,leaf
16,2501,connected,,,compute-002,be-gpu2-port0,server,be-plane-a-leaf-02,E1/2/1,leaf
16,2502,connected,,,compute-002,be-gpu2-port1,server,be-plane-b-leaf-02,E1/2/1,leaf
16,2503,connected,,,compute-002,be-gpu3-port0,server,be-plane-a-leaf-02,E1/2/2,leaf
16,2504,connected,,,compute-002,be-gpu3-port1,server,be-plane-b-leaf-02,E1/2/2,leaf
16,2505,connected,,,compute-002,be-gpu4-port0,server,be-plane-a-leaf-03,E1/2/1,leaf
16,2506,connected,,,compute-002,be-gpu4-port1,server,be-plane-b-leaf-03,E1/2/1,leaf
16,2507,connected,,,compute-002,be-gpu5-port0,server,be-plane-a-leaf-03,E1/2/2,leaf
16,2508,connected,,,compute-002,be-gpu5-port1,server,be-plane-b-leaf-03,E1/2/2,leaf
16,2509,connected,,,compute-002,be-gpu6-port0,server,be-plane-a-leaf-04,E1/2/1,leaf
16,2510,connected,,,compute-002,be-gpu6-port1,server,be-plane-b-leaf-04,E1/2/1,leaf
16,2511,connected,,,compute-002,be-gpu7-port0,server,be-plane-a-leaf-04,E1/2/2,leaf
16,2512,connected,,,compute-002,be-gpu7-port1,server,be-plane-b-leaf-04,E1/2/2,leaf
16,2513,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
16,2514,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
16,2515,connected,,,compute-003,be-gpu0-port0,server,be-plane-a-leaf-01,E1/3/1,leaf
16,2516,connected,,,compute-003,be-gpu0-port1,server,be-plane-b-leaf-01,E1/3/1,leaf
16,2517,connected,,,compute-003,be-gpu1-port0,server,be-plane-a-leaf-01,E1/3/2,leaf
16,2518,connected,,,compute-003,be-gpu1-port1,server,be-plane-b-leaf-01,E1/3/2,leaf
16,2519,connected,,,compute-003,be-gpu2-port0,server,be-plane-a-leaf-02,E1/3/1,leaf
16,2520,connected,,,compute-003,be-gpu2-port1,server,be-plane-b-leaf-02,E1/3/1,leaf
16,2521,connected,,,compute-003,be-gpu3-port0,server,be-plane-a-leaf-02,E1/3/2,leaf
16,2522,connected,,,compute-003,be-gpu3-port1,server,be-plane-b-leaf-02,E1/3/2,leaf
16,2523,connected,,,compute-003,be-gpu4-port0,server,be-plane-a-leaf-03,E1/3/1,leaf
16,2524,connected,,,compute-003,be-gpu4-port1,server,be-plane-b-leaf-03,E1/3/1,leaf
16,2525,connected,,,compute-003,be-gpu5-port0,server,be-plane-a-leaf-03,E1/3/2,leaf
16,2526,connected,,,compute-003,be-gpu5-port1,server,be-plane-b-leaf-03,E1/3/2,leaf
16,2527,connected,,,compute-003,be-gpu6-port0,server,be-plane-a-leaf-04,E1/3/1,leaf
16,2528,connected,,,compute-003,be-gpu6-port1,server,be-plane-b-leaf-04,E1/3/1,leaf
16,2529,connected,,,compute-003,be-gpu7-port0,server,be-plane-a-leaf-04,E1/3/2,leaf
16,2530,connected,,,compute-003,be-gpu7-port1,server,be-plane-b-leaf-04,E1/3/2,leaf
16,2531,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
16,2532,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
16,2533,connected,,,compute-004,be-gpu0-port0,server,be-plane-a-leaf-01,E1/4/1,leaf
16,2534,connected,,,compute-004,be-gpu0-port1,server,be-plane-b-leaf-01,E1/4/1,leaf
16,2535,connected,,,compute-004,be-gpu1-port0,server,be-plane-a-leaf-01,E1/4/2,leaf
16,2536,connected,,,compute-004,be-gpu1-port1,server,be-plane-b-leaf-01,E1/4/2,leaf
16,2537,connected,,,compute-004,be-gpu2-port0,server,be-plane-a-leaf-02,E1/4/1,leaf
16,2538,connected,,,compute-004,be-gpu2-port1,server,be-plane-b-leaf-02,E1/4/1,leaf
16,2539,connected,,,compute-004,be-gpu3-port0,server,be-plane-a-leaf-02,E1/4/2,leaf
16,2540,connected,,,compute-004,be-gpu3-port1,server,be-plane-b-leaf-02,E1/4/2,leaf
16,2541,connected,,,compute-004,be-gpu4-port0,server,be-plane-a-leaf-03,E1/4/1,leaf
16,2542,connected,,,compute-004,be-gpu4-port1,server,be-plane-b-leaf-03,E1/4/1,leaf
16,2543,connected,,,compute-004,be-gpu5-port0,server,be-plane-a-leaf-03,E1/4/2,leaf
16,2544,connected,,,compute-004,be-gpu5-port1,server,be-plane-b-leaf-03,E1/4/2,leaf
16,2545,connected,,,compute-004,be-gpu6-port0,server,be-plane-a-leaf-04,E1/4/1,leaf
16,2546,connected,,,compute-004,be-gpu6-port1,server,be-plane-b-leaf-04,E1/4/1,leaf
16,2547,connected,,,compute-004,be-gpu7-port0,server,be-plane-a-leaf-04,E1/4/2,leaf
16,2548,connected,,,compute-004,be-gpu7-port1,server,be-plane-b-leaf-04,E1/4/2,leaf
16,2549,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
16,2550,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
16,2551,connected,,,compute-005,be-gpu0-port0,server,be-plane-a-leaf-01,E1/5/1,leaf
16,2552,connected,,,compute-005,be-gpu0-port1,server,be-plane-b-leaf-01,E1/5/1,leaf
16,2553,connected,,,compute-005,be-gpu1-port0,server,be-plane-a-leaf-01,E1/5/2,leaf
16,2554,connected,,,compute-005,be-gpu1-port1,server,be-plane-b-leaf-01,E1/5/2,leaf
16,2555,connected,,,compute-005,be-gpu2-port0,server,be-plane-a-leaf-02,E1/5/1,leaf
16,2556,connected,,,compute-005,be-gpu2-port1,server,be-plane-b-leaf-02,E1/5/1,leaf
16,2557,connected,,,compute-005,be-gpu3-port0,server,be-plane-a-leaf-02,E1/5/2,leaf
16,2558,connected,,,compute-005,be-gpu3-port1,server,be-plane-b-leaf-02,E1/5/2,leaf
16,2559,connected,,,compute-005,be-gpu4-port0,server,be-plane-a-leaf-03,E1/5/1,leaf
16,2560,connected,,,compute-005,be-gpu4-port1,server,be-plane-b-leaf-03,E1/5/1,leaf
16,2561,connected,,,compute-005,be-gpu5-port0,server,be-plane-a-leaf-03,E1/5/2,leaf
16,2562,connected,,,compute-005,be-gpu5-port1,server,be-plane-b-leaf-03,E1/5/2,leaf
16,2563,connected,,,compute-005,be-gpu6-port0,server,be-plane-a-leaf-04,E1/5/1,leaf
16,2564,connected,,,compute-005,be-gpu6-port1,server,be-plane-b-leaf-04,E1/5/1,leaf
16,2565,connected,,,compute-005,be-gpu7-port0,server,be-plane-a-leaf-04,E1/5/2,leaf
16,2566,connected,,,compute-005,be-gpu7-port1,server,be-plane-b-leaf-04,E1/5/2,leaf
16,2567,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
16,2568,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
16,2569,connected,,,compute-006,be-gpu0-port0,server,be-plane-a-leaf-01,E1/6/1,leaf
16,2570,connected,,,compute-006,be-gpu0-port1,server,be-plane-b-leaf-01,E1/6/1,leaf
16,2571,connected,,,compute-006,be-gpu1-port0,server,be-plane-a-leaf-01,E1/6/2,leaf
16,2572,connected,,,compute-006,be-gpu1-port1,server,be-plane-b-leaf-01,E1/6/2,leaf
16,2573,connected,,,compute-006,be-gpu2-port0,server,be-plane-a-leaf-02,E1/6/1,leaf
16,2574,connected,,,compute-006,be-gpu2-port1,server,be-plane-b-leaf-02,E1/6/1,leaf
16,2575,connected,,,compute-006,be-gpu3-port0,server,be-plane-a-leaf-02,E1/6/2,leaf
16,2576,connected,,,compute-006,be-gpu3-port1,server,be-plane-b-leaf-02,E1/6/2,leaf
16,2577,connected,,,compute-006,be-gpu4-port0,server,be-plane-a-leaf-03,E1/6/1,leaf
16,2578,connected,,,compute-006,be-gpu4-port1,server,be-plane-b-leaf-03,E1/6/1,leaf
16,2579,connected,,,compute-006,be-gpu5-port0,server,be-plane-a-leaf-03,E1/6/2,leaf
16,2580,connected,,,compute-006,be-gpu5-port1,server,be-plane-b-leaf-03,E1/6/2,leaf
16,2581,connected,,,compute-006,be-gpu6-port0,server,be-plane-a-leaf-04,E1/6/1,leaf
16,2582,connected,,,compute-006,be-gpu6-port1,server,be-plane-b-leaf-04,E1/6/1,leaf
16,2583,connected,,,compute-006,be-gpu7-port0,server,be-plane-a-leaf-04,E1/6/2,leaf
16,2584,connected,,,compute-006,be-gpu7-port1,server,be-plane-b-leaf-04,E1/6/2,leaf
16,2585,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
16,2586,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
16,2587,connected,,,compute-007,be-gpu0-port0,server,be-plane-a-leaf-01,E1/7/1,leaf
16,2588,connected,,,compute-007,be-gpu0-port1,server,be-plane-b-leaf-01,E1/7/1,leaf
16,2589,connected,,,compute-007,be-gpu1-port0,server,be-plane-a-leaf-01,E1/7/2,leaf
16,2590,connected,,,compute-007,be-gpu1-port1,server,be-plane-b-leaf-01,E1/7/2,leaf
16,2591,connected,,,compute-007,be-gpu2-port0,server,be-plane-a-leaf-02,E1/7/1,leaf
16,2592,connected,,,compute-007,be-gpu2-port1,server,be-plane-b-leaf-02,E1/7/1,leaf
16,2593,connected,,,compute-007,be-gpu3-port0,server,be-plane-a-leaf-02,E1/7/2,leaf
16,2594,connected,,,compute-007,be-gpu3-port1,server,be-plane-b-leaf-02,E1/7/2,leaf
16,2595,connected,,,compute-007,be-gpu4-port0,server,be-plane-a-leaf-03,E1/7/1,leaf
16,2596,connected,,,compute-007,be-gpu4-port1,server,be-plane-b-leaf-03,E1/7/1,leaf
16,2597,connected,,,compute-007,be-gpu5-port0,server,be-plane-a-leaf-03,E1/7/2,leaf
16,2598,connected,,,compute-007,be-gpu5-port1,server,be-plane-b-leaf-03,E1/7/2,leaf
16,2599,connected,,,compute-007,be-gpu6-port0,server,be-plane-a-leaf-04,E1/7/1,leaf
16,2600,connected,,,compute-007,be-gpu6-port1,server,be-plane-b-leaf-04,E1/7/1,leaf
16,2601,connected,,,compute-007,be-gpu7-port0,server,be-plane-a-leaf-04,E1/7/2,leaf
16,2602,connected,,,compute-007,be-gpu7-port1,server,be-plane-b-leaf-04,E1/7/2,leaf
16,2603,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
16,2604,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
16,2605,connected,,,compute-008,be-gpu0-port0,server,be-plane-a-leaf-01,E1/8/1,leaf
16,2606,connected,,,compute-008,be-gpu0-port1,server,be-plane-b-leaf-01,E1/8/1,leaf
16,2607,connected,,,compute-008,be-gpu1-port0,server,be-plane-a-leaf-01,E1/8/2,leaf
16,2608,connected,,,compute-008,be-gpu1-port1,server,be-plane-b-leaf-01,E1/8/2,leaf
16,2609,connected,,,compute-008,be-gpu2-port0,server,be-plane-a-leaf-02,E1/8/1,leaf
16,2610,connected,,,compute-008,be-gpu2-port1,server,be-plane-b-leaf-02,E1/8/1,leaf
16,2611,connected,,,compute-008,be-gpu3-port0,server,be-plane-a-leaf-02,E1/8/2,leaf
16,2612,connected,,,compute-008,be-gpu3-port1,server,be-plane-b-leaf-02,E1/8/2,leaf
16,2613,connected,,,compute-008,be-gpu4-port0,server,be-plane-a-leaf-03,E1/8/1,leaf
16,2614,connected,,,compute-008,be-gpu4-port1,server,be-plane-b-leaf-03,E1/8/1,leaf
16,2615,connected,,,compute-008,be-gpu5-port0,server,be-plane-a-leaf-03,E1/8/2,leaf
16,2616,connected,,,compute-008,be-gpu5-port1,server,be-plane-b-leaf-03,E1/8/2,leaf
16,2617,connected,,,compute-008,be-gpu6-port0,server,be-plane-a-leaf-04,E1/8/1,leaf
16,2618,connected,,,compute-008,be-gpu6-port1,server,be-plane-b-leaf-04,E1/8/1,leaf
16,2619,connected,,,compute-008,be-gpu7-port0,server,be-plane-a-leaf-04,E1/8/2,leaf
16,2620,connected,,,compute-008,be-gpu7-port1,server,be-plane-b-leaf-04,E1/8/2,leaf
16,2621,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
16,2622,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
16,2623,connected,,,compute-009,be-gpu0-port0,server,be-plane-a-leaf-01,E1/9/1,leaf
16,2624,connected,,,compute-009,be-gpu0-port1,server,be-plane-b-leaf-01,E1/9/1,leaf
16,2625,connected,,,compute-009,be-gpu1-port0,server,be-plane-a-leaf-01,E1/9/2,leaf
16,2626,connected,,,compute-009,be-gpu1-port1,server,be-plane-b-leaf-01,E1/9/2,leaf
16,2627,connected,,,compute-009,be-gpu2-port0,server,be-plane-a-leaf-02,E1/9/1,leaf
16,2628,connected,,,compute-009,be-gpu2-port1,server,be-plane-b-leaf-02,E1/9/1,leaf
16,2629,connected,,,compute-009,be-gpu3-port0,server,be-plane-a-leaf-02,E1/9/2,leaf
16,2630,connected,,,compute-009,be-gpu3-port1,server,be-plane-b-leaf-02,E1/9/2,leaf
16,2631,connected,,,compute-009,be-gpu4-port0,server,be-plane-a-leaf-03,E1/9/1,leaf
16,2632,connected,,,compute-009,be-gpu4-port1,server,be-plane-b-leaf-03,E1/9/1,leaf
16,2633,connected,,,compute-009,be-gpu5-port0,server,be-plane-a-leaf-03,E1/9/2,leaf
16,2634,connected,,,compute-009,be-gpu5-port1,server,be-plane-b-leaf-03,E1/9/2,leaf
16,2635,connected,,,compute-009,be-gpu6-port0,server,be-plane-a-leaf-04,E1/9/1,leaf
16,2636,connected,,,compute-009,be-gpu6-port1,server,be-plane-b-leaf-04,E1/9/1,leaf
16,2637,connected,,,compute-009,be-gpu7-port0,server,be-plane-a-leaf-04,E1/9/2,leaf
16,2638,connected,,,compute-009,be-gpu7-port1,server,be-plane-b-leaf-04,E1/9/2,leaf
16,2639,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
16,2640,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
16,2641,connected,,,compute-010,be-gpu0-port0,server,be-plane-a-leaf-01,E1/10/1,leaf
16,2642,connected,,,compute-010,be-gpu0-port1,server,be-plane-b-leaf-01,E1/10/1,leaf
16,2643,connected,,,compute-010,be-gpu1-port0,server,be-plane-a-leaf-01,E1/10/2,leaf
16,2644,connected,,,compute-010,be-gpu1-port1,server,be-plane-b-leaf-01,E1/10/2,leaf
16,2645,connected,,,compute-010,be-gpu2-port0,server,be-plane-a-leaf-02,E1/10/1,leaf
16,2646,connected,,,compute-010,be-gpu2-port1,server,be-plane-b-leaf-02,E1/10/1,leaf
16,2647,connected,,,compute-010,be-gpu3-port0,server,be-plane-a-leaf-02,E1/10/2,leaf
16,2648,connected,,,compute-010,be-gpu3-port1,server,be-plane-b-leaf-02,E1/10/2,leaf
16,2649,connected,,,compute-010,be-gpu4-port0,server,be-plane-a-leaf-03,E1/10/1,leaf
16,2650,connected,,,compute-010,be-gpu4-port1,server,be-plane-b-leaf-03,E1/10/1,leaf
16,2651,connected,,,compute-010,be-gpu5-port0,server,be-plane-a-leaf-03,E1/10/2,leaf
16,2652,connected,,,compute-010,be-gpu5-port1,server,be-plane-b-leaf-03,E1/10/2,leaf
16,2653,connected,,,compute-010,be-gpu6-port0,server,be-plane-a-leaf-04,E1/10/1,leaf
16,2654,connected,,,compute-010,be-gpu6-port1,server,be-plane-b-leaf-04,E1/10/1,leaf
16,2655,connected,,,compute-010,be-gpu7-port0,server,be-plane-a-leaf-04,E1/10/2,leaf
16,2656,connected,,,compute-010,be-gpu7-port1,server,be-plane-b-leaf-04,E1/10/2,leaf
16,2657,connected,,,compute-010,fe-p0,server,fe-leaf-01,E1/5/2,leaf
16,2658,connected,,,compute-010,fe-p1,server,fe-leaf-02,E1/5/2,leaf
16,2659,connected,,,compute-011,be-gpu0-port0,server,be-plane-a-leaf-01,E1/11/1,leaf
16,2660,connected,,,compute-011,be-gpu0-port1,server,be-plane-b-leaf-01,E1/11/1,leaf
16,2661,connected,,,compute-011,be-gpu1-port0,server,be-plane-a-leaf-01,E1/11/2,leaf
16,2662,connected,,,compute-011,be-gpu1-port1,server,be-plane-b-leaf-01,E1/11/2,leaf
16,2663,connected,,,compute-011,be-gpu2-port0,server,be-plane-a-leaf-02,E1/11/1,leaf
16,2664,connected,,,compute-011,be-gpu2-port1,server,be-plane-b-leaf-02,E1/11/1,leaf
16,2665,connected,,,compute-011,be-gpu3-port0,server,be-plane-a-leaf-02,E1/11/2,leaf
16,2666,connected,,,compute-011,be-gpu3-port1,server,be-plane-b-leaf-02,E1/11/2,leaf
16,2667,connected,,,compute-011,be-gpu4-port0,server,be-plane-a-leaf-03,E1/11/1,leaf
16,2668,connected,,,compute-011,be-gpu4-port1,server,be-plane-b-leaf-03,E1/11/1,leaf
16,2669,connected,,,compute-011,be-gpu5-port0,server,be-plane-a-leaf-03,E1/11/2,leaf
16,2670,connected,,,compute-011,be-gpu5-port1,server,be-plane-b-leaf-03,E1/11/2,leaf
16,2671,connected,,,compute-011,be-gpu6-port0,server,be-plane-a-leaf-04,E1/11/1,leaf
16,2672,connected,,,compute-011,be-gpu6-port1,server,be-plane-b-leaf-04,E1/11/1,leaf
16,2673,connected,,,compute-011,be-gpu7-port0,server,be-plane-a-leaf-04,E1/11/2,leaf
16,2674,connected,,,compute-011,be-gpu7-port1,server,be-plane-b-leaf-04,E1/11/2,leaf
16,2675,connected,,,compute-011,fe-p0,server,fe-leaf-01,E1/5/3,leaf
16,2676,connected,,,compute-011,fe-p1,server,fe-leaf-02,E1/5/3,leaf
16,2677,connected,,,compute-012,be-gpu0-port0,server,be-plane-a-leaf-01,E1/12/1,leaf
16,2678,connected,,,compute-012,be-gpu0-port1,server,be-plane-b-leaf-01,E1/12/1,leaf
16,2679,connected,,,compute-012,be-gpu1-port0,server,be-plane-a-leaf-01,E1/12/2,leaf
16,2680,connected,,,compute-012,be-gpu1-port1,server,be-plane-b-leaf-01,E1/12/2,leaf
16,2681,connected,,,compute-012,be-gpu2-port0,server,be-plane-a-leaf-02,E1/12/1,leaf
16,2682,connected,,,compute-012,be-gpu2-port1,server,be-plane-b-leaf-02,E1/12/1,leaf
16,2683,connected,,,compute-012,be-gpu3-port0,server,be-plane-a-leaf-02,E1/12/2,leaf
16,2684,connected,,,compute-012,be-gpu3-port1,server,be-plane-b-leaf-02,E1/12/2,leaf
16,2685,connected,,,compute-012,be-gpu4-port0,server,be-plane-a-leaf-03,E1/12/1,leaf
16,2686,connected,,,compute-012,be-gpu4-port1,server,be-plane-b-leaf-03,E1/12/1,leaf
16,2687,connected,,,compute-012,be-gpu5-port0,server,be-plane-a-leaf-03,E1/12/2,leaf
16,2688,connected,,,compute-012,be-gpu5-port1,server,be-plane-b-leaf-03,E1/12/2,leaf
16,2689,connected,,,compute-012,be-gpu6-port0,server,be-plane-a-leaf-04,E1/12/1,leaf
16,2690,connected,,,compute-012,be-gpu6-port1,server,be-plane-b-leaf-04,E1/12/1,leaf
16,2691,connected,,,compute-012,be-gpu7-port0,server,be-plane-a-leaf-04,E1/12/2,leaf
16,2692,connected,,,compute-012,be-gpu7-port1,server,be-plane-b-leaf-04,E1/12/2,leaf
16,2693,connected,,,compute-012,fe-p0,server,fe-leaf-01,E1/5/4,leaf
16,2694,connected,,,compute-012,fe-p1,server,fe-leaf-02,E1/5/4,leaf
16,2695,connected,,,compute-013,be-gpu0-port0,server,be-plane-a-leaf-01,E1/13/1,leaf
16,2696,connected,,,compute-013,be-gpu0-port1,server,be-plane-b-leaf-01,E1/13/1,leaf
16,2697,connected,,,compute-013,be-gpu1-port0,server,be-plane-a-leaf-01,E1/13/2,leaf
16,2698,connected,,,compute-013,be-gpu1-port1,server,be-plane-b-leaf-01,E1/13/2,leaf
16,2699,connected,,,compute-013,be-gpu2-port0,server,be-plane-a-leaf-02,E1/13/1,leaf
16,2700,connected,,,compute-013,be-gpu2-port1,server,be-plane-b-leaf-02,E1/13/1,leaf
16,2701,connected,,,compute-013,be-gpu3-port0,server,be-plane-a-leaf-02,E1/13/2,leaf
16,2702,connected,,,compute-013,be-gpu3-port1,server,be-plane-b-leaf-02,E1/13/2,leaf
