plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
35,8870,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
35,8871,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
35,8872,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
35,8873,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
35,8874,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
35,8875,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
35,8876,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
35,8877,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
35,8878,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
35,8879,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
35,8880,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
35,8881,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
35,8882,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
35,8883,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
35,8884,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
35,8885,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
35,8886,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
35,8887,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
35,8888,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
35,8889,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
35,8890,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
35,8891,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
35,8892,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
35,8893,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
35,8894,connected,,,compute-003,be4-port0,server,be-rail-leaf-05,E1/2/1,leaf
35,8895,connected,,,compute-003,be5-port0,server,be-rail-leaf-06,E1/2/1,leaf
35,8896,connected,,,compute-003,be6-port0,server,be-rail-leaf-07,E1/2/1,leaf
35,8897,connected,,,compute-003,be7-port0,server,be-rail-leaf-08,E1/2/1,leaf
35,8898,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
35,8899,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
35,8900,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/2/2,leaf
35,8901,connected,,,compute-004,be1-port0,server,be-rail-leaf-02,E1/2/2,leaf
35,8902,connected,,,compute-004,be2-port0,server,be-rail-leaf-03,E1/2/2,leaf
35,8903,connected,,,compute-004,be3-port0,server,be-rail-leaf-04,E1/2/2,leaf
35,8904,connected,,,compute-004,be4-port0,server,be-rail-leaf-05,E1/2/2,leaf
35,8905,connected,,,compute-004,be5-port0,server,be-rail-leaf-06,E1/2/2,leaf
35,8906,connected,,,compute-004,be6-port0,server,be-rail-leaf-07,E1/2/2,leaf
35,8907,connected,,,compute-004,be7-port0,server,be-rail-leaf-08,E1/2/2,leaf
35,8908,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
35,8909,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
35,8910,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
35,8911,connected,,,compute-005,be1-port0,server,be-rail-leaf-02,E1/3/1,leaf
35,8912,connected,,,compute-005,be2-port0,server,be-rail-leaf-03,E1/3/1,leaf
35,8913,connected,,,compute-005,be3-port0,server,be-rail-leaf-04,E1/3/1,leaf
35,8914,connected,,,compute-005,be4-port0,server,be-rail-leaf-05,E1/3/1,leaf
35,8915,connected,,,compute-005,be5-port0,server,be-rail-leaf-06,E1/3/1,leaf
35,8916,connected,,,compute-005,be6-port0,server,be-rail-leaf-07,E1/3/1,leaf
35,8917,connected,,,compute-005,be7-port0,server,be-rail-leaf-08,E1/3/1,leaf
35,8918,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
35,8919,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
35,8920,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/3/2,leaf
35,8921,connected,,,compute-006,be1-port0,server,be-rail-leaf-02,E1/3/2,leaf
35,8922,connected,,,compute-006,be2-port0,server,be-rail-leaf-03,E1/3/2,leaf
35,8923,connected,,,compute-006,be3-port0,server,be-rail-leaf-04,E1/3/2,leaf
35,8924,connected,,,compute-006,be4-port0,server,be-rail-leaf-05,E1/3/2,leaf
35,8925,connected,,,compute-006,be5-port0,server,be-rail-leaf-06,E1/3/2,leaf
35,8926,connected,,,compute-006,be6-port0,server,be-rail-leaf-07,E1/3/2,leaf
35,8927,connected,,,compute-006,be7-port0,server,be-rail-leaf-08,E1/3/2,leaf
35,8928,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
35,8929,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
35,8930,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
35,8931,connected,,,compute-007,be1-port0,server,be-rail-leaf-02,E1/4/1,leaf
35,8932,connected,,,compute-007,be2-port0,server,be-rail-leaf-03,E1/4/1,leaf
35,8933,connected,,,compute-007,be3-port0,server,be-rail-leaf-04,E1/4/1,leaf
35,8934,connected,,,compute-007,be4-port0,server,be-rail-leaf-05,E1/4/1,leaf
