plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
33,7846,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
33,7847,connected,,,compute-001,be1-port0,server,be-leaf-01,E1/1/2,leaf
33,7848,connected,,,compute-001,be2-port0,server,be-leaf-02,E1/1/1,leaf
33,7849,connected,,,compute-001,be3-port0,server,be-leaf-02,E1/1/2,leaf
33,7850,connected,,,compute-001,be4-port0,server,be-leaf-03,E1/1/1,leaf
33,7851,connected,,,compute-001,be5-port0,server,be-leaf-03,E1/1/2,leaf
33,7852,connected,,,compute-001,be6-port0,server,be-leaf-04,E1/1/1,leaf
33,7853,connected,,,compute-001,be7-port0,server,be-leaf-04,E1/1/2,leaf
33,7854,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
33,7855,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
33,7856,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/2/1,leaf
33,7857,connected,,,compute-002,be1-port0,server,be-leaf-01,E1/2/2,leaf
33,7858,connected,,,compute-002,be2-port0,server,be-leaf-02,E1/2/1,leaf
33,7859,connected,,,compute-002,be3-port0,server,be-leaf-02,E1/2/2,leaf
33,7860,connected,,,compute-002,be4-port0,server,be-leaf-03,E1/2/1,leaf
33,7861,connected,,,compute-002,be5-port0,server,be-leaf-03,E1/2/2,leaf
33,7862,connected,,,compute-002,be6-port0,server,be-leaf-04,E1/2/1,leaf
33,7863,connected,,,compute-002,be7-port0,server,be-leaf-04,E1/2/2,leaf
33,7864,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
33,7865,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
33,7866,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/3/1,leaf
33,7867,connected,,,compute-003,be1-port0,server,be-leaf-01,E1/3/2,leaf
33,7868,connected,,,compute-003,be2-port0,server,be-leaf-02,E1/3/1,leaf
33,7869,connected,,,compute-003,be3-port0,server,be-leaf-02,E1/3/2,leaf
33,7870,connected,,,compute-003,be4-port0,server,be-leaf-03,E1/3/1,leaf
33,7871,connected,,,compute-003,be5-port0,server,be-leaf-03,E1/3/2,leaf
33,7872,connected,,,compute-003,be6-port0,server,be-leaf-04,E1/3/1,leaf
33,7873,connected,,,compute-003,be7-port0,server,be-leaf-04,E1/3/2,leaf
33,7874,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
33,7875,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
33,7876,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/4/1,leaf
33,7877,connected,,,compute-004,be1-port0,server,be-leaf-01,E1/4/2,leaf
33,7878,connected,,,compute-004,be2-port0,server,be-leaf-02,E1/4/1,leaf
33,7879,connected,,,compute-004,be3-port0,server,be-leaf-02,E1/4/2,leaf
33,7880,connected,,,compute-004,be4-port0,server,be-leaf-03,E1/4/1,leaf
33,7881,connected,,,compute-004,be5-port0,server,be-leaf-03,E1/4/2,leaf
33,7882,connected,,,compute-004,be6-port0,server,be-leaf-04,E1/4/1,leaf
33,7883,connected,,,compute-004,be7-port0,server,be-leaf-04,E1/4/2,leaf
33,7884,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
33,7885,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
33,7886,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/5/1,leaf
33,7887,connected,,,compute-005,be1-port0,server,be-leaf-01,E1/5/2,leaf
33,7888,connected,,,compute-005,be2-port0,server,be-leaf-02,E1/5/1,leaf
33,7889,connected,,,compute-005,be3-port0,server,be-leaf-02,E1/5/2,leaf
33,7890,connected,,,compute-005,be4-port0,server,be-leaf-03,E1/5/1,leaf
33,7891,connected,,,compute-005,be5-port0,server,be-leaf-03,E1/5/2,leaf
33,7892,connected,,,compute-005,be6-port0,server,be-leaf-04,E1/5/1,leaf
33,7893,connected,,,compute-005,be7-port0,server,be-leaf-04,E1/5/2,leaf
33,7894,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
33,7895,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
