plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
39,14246,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
39,14247,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
39,14248,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
39,14249,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
39,14250,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
39,14251,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
39,14252,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
39,14253,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
39,14254,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
39,14255,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
39,14256,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
39,14257,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
39,14258,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
39,14259,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
39,14260,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
39,14261,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
39,14262,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
39,14263,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
39,14264,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
39,14265,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
39,14266,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
39,14267,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
39,14268,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
39,14269,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
39,14270,connected,,,compute-003,be4-port0,server,be-rail-leaf-05,E1/2/1,leaf
39,14271,connected,,,compute-003,be5-port0,server,be-rail-leaf-06,E1/2/1,leaf
39,14272,connected,,,compute-003,be6-port0,server,be-rail-leaf-07,E1/2/1,leaf
39,14273,connected,,,compute-003,be7-port0,server,be-rail-leaf-08,E1/2/1,leaf
39,14274,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
39,14275,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
39,14276,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/2/2,leaf
39,14277,connected,,,compute-004,be1-port0,server,be-rail-leaf-02,E1/2/2,leaf
39,14278,connected,,,compute-004,be2-port0,server,be-rail-leaf-03,E1/2/2,leaf
39,14279,connected,,,compute-004,be3-port0,server,be-rail-leaf-04,E1/2/2,leaf
39,14280,connected,,,compute-004,be4-port0,server,be-rail-leaf-05,E1/2/2,leaf
39,14281,connected,,,compute-004,be5-port0,server,be-rail-leaf-06,E1/2/2,leaf
39,14282,connected,,,compute-004,be6-port0,server,be-rail-leaf-07,E1/2/2,leaf
39,14283,connected,,,compute-004,be7-port0,server,be-rail-leaf-08,E1/2/2,leaf
39,14284,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
39,14285,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
39,14286,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
39,14287,connected,,,compute-005,be1-port0,server,be-rail-leaf-02,E1/3/1,leaf
39,14288,connected,,,compute-005,be2-port0,server,be-rail-leaf-03,E1/3/1,leaf
39,14289,connected,,,compute-005,be3-port0,server,be-rail-leaf-04,E1/3/1,leaf
39,14290,connected,,,compute-005,be4-port0,server,be-rail-leaf-05,E1/3/1,leaf
39,14291,connected,,,compute-005,be5-port0,server,be-rail-leaf-06,E1/3/1,leaf
39,14292,connected,,,compute-005,be6-port0,server,be-rail-leaf-07,E1/3/1,leaf
39,14293,connected,,,compute-005,be7-port0,server,be-rail-leaf-08,E1/3/1,leaf
39,14294,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
39,14295,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
39,14296,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/3/2,leaf
39,14297,connected,,,compute-006,be1-port0,server,be-rail-leaf-02,E1/3/2,leaf
39,14298,connected,,,compute-006,be2-port0,server,be-rail-leaf-03,E1/3/2,leaf
39,14299,connected,,,compute-006,be3-port0,server,be-rail-leaf-04,E1/3/2,leaf
39,14300,connected,,,compute-006,be4-port0,server,be-rail-leaf-05,E1/3/2,leaf
39,14301,connected,,,compute-006,be5-port0,server,be-rail-leaf-06,E1/3/2,leaf
39,14302,connected,,,compute-006,be6-port0,server,be-rail-leaf-07,E1/3/2,leaf
39,14303,connected,,,compute-006,be7-port0,server,be-rail-leaf-08,E1/3/2,leaf
39,14304,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
39,14305,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
39,14306,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
39,14307,connected,,,compute-007,be1-port0,server,be-rail-leaf-02,E1/4/1,leaf
39,14308,connected,,,compute-007,be2-port0,server,be-rail-leaf-03,E1/4/1,leaf
39,14309,connected,,,compute-007,be3-port0,server,be-rail-leaf-04,E1/4/1,leaf
39,14310,connected,,,compute-007,be4-port0,server,be-rail-leaf-05,E1/4/1,leaf
39,14311,connected,,,compute-007,be5-port0,server,be-rail-leaf-06,E1/4/1,leaf
39,14312,connected,,,compute-007,be6-port0,server,be-rail-leaf-07,E1/4/1,leaf
39,14313,connected,,,compute-007,be7-port0,server,be-rail-leaf-08,E1/4/1,leaf
39,14314,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
39,14315,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
39,14316,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/4/2,leaf
39,14317,connected,,,compute-008,be1-port0,server,be-rail-leaf-02,E1/4/2,leaf
39,14318,connected,,,compute-008,be2-port0,server,be-rail-leaf-03,E1/4/2,leaf
39,14319,connected,,,compute-008,be3-port0,server,be-rail-leaf-04,E1/4/2,leaf
39,14320,connected,,,compute-008,be4-port0,server,be-rail-leaf-05,E1/4/2,leaf
39,14321,connected,,,compute-008,be5-port0,server,be-rail-leaf-06,E1/4/2,leaf
39,14322,connected,,,compute-008,be6-port0,server,be-rail-leaf-07,E1/4/2,leaf
39,14323,connected,,,compute-008,be7-port0,server,be-rail-leaf-08,E1/4/2,leaf
39,14324,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
39,14325,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
39,14326,connected,,,compute-009,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
39,14327,connected,,,compute-009,be1-port0,server,be-rail-leaf-02,E1/5/1,leaf
39,14328,connected,,,compute-009,be2-port0,server,be-rail-leaf-03,E1/5/1,leaf
39,14329,connected,,,compute-009,be3-port0,server,be-rail-leaf-04,E1/5/1,leaf
39,14330,connected,,,compute-009,be4-port0,server,be-rail-leaf-05,E1/5/1,leaf
39,14331,connected,,,compute-009,be5-port0,server,be-rail-leaf-06,E1/5/1,leaf
39,14332,connected,,,compute-009,be6-port0,server,be-rail-leaf-07,E1/5/1,leaf
39,14333,connected,,,compute-009,be7-port0,server,be-rail-leaf-08,E1/5/1,leaf
39,14334,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
39,14335,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
39,14336,connected,,,compute-010,be0-port0,server,be-rail-leaf-01,E1/5/2,leaf
39,14337,connected,,,compute-010,be1-port0,server,be-rail-leaf-02,E1/5/2,leaf
39,14338,connected,,,compute-010,be2-port0,server,be-rail-leaf-03,E1/5/2,leaf
