plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
41,16166,connected,,,compute-001,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/1,leaf
41,16167,connected,,,compute-001,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/1,leaf
41,16168,connected,,,compute-001,be-gpu1-port0,server,be-plane-a-leaf-02,E1/1/1,leaf
41,16169,connected,,,compute-001,be-gpu1-port1,server,be-plane-b-leaf-02,E1/1/1,leaf
41,16170,connected,,,compute-001,be-gpu2-port0,server,be-plane-a-leaf-03,E1/1/1,leaf
41,16171,connected,,,compute-001,be-gpu2-port1,server,be-plane-b-leaf-03,E1/1/1,leaf
41,16172,connected,,,compute-001,be-gpu3-port0,server,be-plane-a-leaf-04,E1/1/1,leaf
41,16173,connected,,,compute-001,be-gpu3-port1,server,be-plane-b-leaf-04,E1/1/1,leaf
41,16174,connected,,,compute-001,be-gpu4-port0,server,be-plane-a-leaf-05,E1/1/1,leaf
41,16175,connected,,,compute-001,be-gpu4-port1,server,be-plane-b-leaf-05,E1/1/1,leaf
41,16176,connected,,,compute-001,be-gpu5-port0,server,be-plane-a-leaf-06,E1/1/1,leaf
41,16177,connected,,,compute-001,be-gpu5-port1,server,be-plane-b-leaf-06,E1/1/1,leaf
41,16178,connected,,,compute-001,be-gpu6-port0,server,be-plane-a-leaf-07,E1/1/1,leaf
41,16179,connected,,,compute-001,be-gpu6-port1,server,be-plane-b-leaf-07,E1/1/1,leaf
41,16180,connected,,,compute-001,be-gpu7-port0,server,be-plane-a-leaf-08,E1/1/1,leaf
41,16181,connected,,,compute-001,be-gpu7-port1,server,be-plane-b-leaf-08,E1/1/1,leaf
41,16182,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
41,16183,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
41,16184,connected,,,compute-002,be-gpu0-port0,server,be-plane-a-leaf-01,E1/1/2,leaf
41,16185,connected,,,compute-002,be-gpu0-port1,server,be-plane-b-leaf-01,E1/1/2,leaf
41,16186,connected,,,compute-002,be-gpu1-port0,server,be-plane-a-leaf-02,E1/1/2,leaf
41,16187,connected,,,compute-002,be-gpu1-port1,server,be-plane-b-leaf-02,E1/1/2,leaf
41,16188,connected,,,compute-002,be-gpu2-port0,server,be-plane-a-leaf-03,E1/1/2,leaf
41,16189,connected,,,compute-002,be-gpu2-port1,server,be-plane-b-leaf-03,E1/1/2,leaf
41,16190,connected,,,compute-002,be-gpu3-port0,server,be-plane-a-leaf-04,E1/1/2,leaf
41,16191,connected,,,compute-002,be-gpu3-port1,server,be-plane-b-leaf-04,E1/1/2,leaf
41,16192,connected,,,compute-002,be-gpu4-port0,server,be-plane-a-leaf-05,E1/1/2,leaf
41,16193,connected,,,compute-002,be-gpu4-port1,server,be-plane-b-leaf-05,E1/1/2,leaf
41,16194,connected,,,compute-002,be-gpu5-port0,server,be-plane-a-leaf-06,E1/1/2,leaf
41,16195,connected,,,compute-002,be-gpu5-port1,server,be-plane-b-leaf-06,E1/1/2,leaf
41,16196,connected,,,compute-002,be-gpu6-port0,server,be-plane-a-leaf-07,E1/1/2,leaf
41,16197,connected,,,compute-002,be-gpu6-port1,server,be-plane-b-leaf-07,E1/1/2,leaf
41,16198,connected,,,compute-002,be-gpu7-port0,server,be-plane-a-leaf-08,E1/1/2,leaf
