plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
74,43718,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
74,43719,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
74,43720,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
74,43721,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
74,43722,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
74,43723,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
74,43724,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
74,43725,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
74,43726,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
74,43727,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
74,43728,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
74,43729,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
74,43730,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
74,43731,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
74,43732,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
74,43733,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
74,43734,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
74,43735,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
74,43736,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
74,43737,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
74,43738,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
74,43739,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
74,43740,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
74,43741,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
74,43742,connected,,,compute-003,be4-port0,server,be-rail-leaf-05,E1/2/1,leaf
74,43743,connected,,,compute-003,be5-port0,server,be-rail-leaf-06,E1/2/1,leaf
74,43744,connected,,,compute-003,be6-port0,server,be-rail-leaf-07,E1/2/1,leaf
74,43745,connected,,,compute-003,be7-port0,server,be-rail-leaf-08,E1/2/1,leaf
74,43746,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
74,43747,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
74,43748,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/2/2,leaf
74,43749,connected,,,compute-004,be1-port0,server,be-rail-leaf-02,E1/2/2,leaf
74,43750,connected,,,compute-004,be2-port0,server,be-rail-leaf-03,E1/2/2,leaf
74,43751,connected,,,compute-004,be3-port0,server,be-rail-leaf-04,E1/2/2,leaf
74,43752,connected,,,compute-004,be4-port0,server,be-rail-leaf-05,E1/2/2,leaf
74,43753,connected,,,compute-004,be5-port0,server,be-rail-leaf-06,E1/2/2,leaf
74,43754,connected,,,compute-004,be6-port0,server,be-rail-leaf-07,E1/2/2,leaf
74,43755,connected,,,compute-004,be7-port0,server,be-rail-leaf-08,E1/2/2,leaf
74,43756,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
74,43757,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
74,43758,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
74,43759,connected,,,compute-005,be1-port0,server,be-rail-leaf-02,E1/3/1,leaf
74,43760,connected,,,compute-005,be2-port0,server,be-rail-leaf-03,E1/3/1,leaf
74,43761,connected,,,compute-005,be3-port0,server,be-rail-leaf-04,E1/3/1,leaf
74,43762,connected,,,compute-005,be4-port0,server,be-rail-leaf-05,E1/3/1,leaf
74,43763,connected,,,compute-005,be5-port0,server,be-rail-leaf-06,E1/3/1,leaf
74,43764,connected,,,compute-005,be6-port0,server,be-rail-leaf-07,E1/3/1,leaf
74,43765,connected,,,compute-005,be7-port0,server,be-rail-leaf-08,E1/3/1,leaf
74,43766,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
74,43767,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
74,43768,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/3/2,leaf
74,43769,connected,,,compute-006,be1-port0,server,be-rail-leaf-02,E1/3/2,leaf
74,43770,connected,,,compute-006,be2-port0,server,be-rail-leaf-03,E1/3/2,leaf
74,43771,connected,,,compute-006,be3-port0,server,be-rail-leaf-04,E1/3/2,leaf
74,43772,connected,,,compute-006,be4-port0,server,be-rail-leaf-05,E1/3/2,leaf
74,43773,connected,,,compute-006,be5-port0,server,be-rail-leaf-06,E1/3/2,leaf
74,43774,connected,,,compute-006,be6-port0,server,be-rail-leaf-07,E1/3/2,leaf
74,43775,connected,,,compute-006,be7-port0,server,be-rail-leaf-08,E1/3/2,leaf
74,43776,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
74,43777,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
74,43778,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
74,43779,connected,,,compute-007,be1-port0,server,be-rail-leaf-02,E1/4/1,leaf
74,43780,connected,,,compute-007,be2-port0,server,be-rail-leaf-03,E1/4/1,leaf
74,43781,connected,,,compute-007,be3-port0,server,be-rail-leaf-04,E1/4/1,leaf
74,43782,connected,,,compute-007,be4-port0,server,be-rail-leaf-05,E1/4/1,leaf
74,43783,connected,,,compute-007,be5-port0,server,be-rail-leaf-06,E1/4/1,leaf
74,43784,connected,,,compute-007,be6-port0,server,be-rail-leaf-07,E1/4/1,leaf
74,43785,connected,,,compute-007,be7-port0,server,be-rail-leaf-08,E1/4/1,leaf
74,43786,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
74,43787,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
74,43788,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/4/2,leaf
74,43789,connected,,,compute-008,be1-port0,server,be-rail-leaf-02,E1/4/2,leaf
74,43790,connected,,,compute-008,be2-port0,server,be-rail-leaf-03,E1/4/2,leaf
74,43791,connected,,,compute-008,be3-port0,server,be-rail-leaf-04,E1/4/2,leaf
74,43792,connected,,,compute-008,be4-port0,server,be-rail-leaf-05,E1/4/2,leaf
74,43793,connected,,,compute-008,be5-port0,server,be-rail-leaf-06,E1/4/2,leaf
74,43794,connected,,,compute-008,be6-port0,server,be-rail-leaf-07,E1/4/2,leaf
74,43795,connected,,,compute-008,be7-port0,server,be-rail-leaf-08,E1/4/2,leaf
74,43796,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
74,43797,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
74,43798,connected,,,compute-009,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
74,43799,connected,,,compute-009,be1-port0,server,be-rail-leaf-02,E1/5/1,leaf
74,43800,connected,,,compute-009,be2-port0,server,be-rail-leaf-03,E1/5/1,leaf
74,43801,connected,,,compute-009,be3-port0,server,be-rail-leaf-04,E1/5/1,leaf
74,43802,connected,,,compute-009,be4-port0,server,be-rail-leaf-05,E1/5/1,leaf
74,43803,connected,,,compute-009,be5-port0,server,be-rail-leaf-06,E1/5/1,leaf
74,43804,connected,,,compute-009,be6-port0,server,be-rail-leaf-07,E1/5/1,leaf
