plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
44,20582,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
44,20583,connected,,,compute-001,be1-port0,server,be-rail-leaf-02,E1/1/1,leaf
44,20584,connected,,,compute-001,be2-port0,server,be-rail-leaf-03,E1/1/1,leaf
44,20585,connected,,,compute-001,be3-port0,server,be-rail-leaf-04,E1/1/1,leaf
44,20586,connected,,,compute-001,be4-port0,server,be-rail-leaf-05,E1/1/1,leaf
44,20587,connected,,,compute-001,be5-port0,server,be-rail-leaf-06,E1/1/1,leaf
44,20588,connected,,,compute-001,be6-port0,server,be-rail-leaf-07,E1/1/1,leaf
44,20589,connected,,,compute-001,be7-port0,server,be-rail-leaf-08,E1/1/1,leaf
44,20590,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
44,20591,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
44,20592,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/1/2,leaf
44,20593,connected,,,compute-002,be1-port0,server,be-rail-leaf-02,E1/1/2,leaf
44,20594,connected,,,compute-002,be2-port0,server,be-rail-leaf-03,E1/1/2,leaf
44,20595,connected,,,compute-002,be3-port0,server,be-rail-leaf-04,E1/1/2,leaf
44,20596,connected,,,compute-002,be4-port0,server,be-rail-leaf-05,E1/1/2,leaf
44,20597,connected,,,compute-002,be5-port0,server,be-rail-leaf-06,E1/1/2,leaf
44,20598,connected,,,compute-002,be6-port0,server,be-rail-leaf-07,E1/1/2,leaf
44,20599,connected,,,compute-002,be7-port0,server,be-rail-leaf-08,E1/1/2,leaf
44,20600,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
44,20601,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
44,20602,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/2/1,leaf
44,20603,connected,,,compute-003,be1-port0,server,be-rail-leaf-02,E1/2/1,leaf
44,20604,connected,,,compute-003,be2-port0,server,be-rail-leaf-03,E1/2/1,leaf
44,20605,connected,,,compute-003,be3-port0,server,be-rail-leaf-04,E1/2/1,leaf
44,20606,connected,,,compute-003,be4-port0,server,be-rail-leaf-05,E1/2/1,leaf
44,20607,connected,,,compute-003,be5-port0,server,be-rail-leaf-06,E1/2/1,leaf
44,20608,connected,,,compute-003,be6-port0,server,be-rail-leaf-07,E1/2/1,leaf
44,20609,connected,,,compute-003,be7-port0,server,be-rail-leaf-08,E1/2/1,leaf
44,20610,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
44,20611,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
44,20612,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/2/2,leaf
44,20613,connected,,,compute-004,be1-port0,server,be-rail-leaf-02,E1/2/2,leaf
44,20614,connected,,,compute-004,be2-port0,server,be-rail-leaf-03,E1/2/2,leaf
44,20615,connected,,,compute-004,be3-port0,server,be-rail-leaf-04,E1/2/2,leaf
44,20616,connected,,,compute-004,be4-port0,server,be-rail-leaf-05,E1/2/2,leaf
44,20617,connected,,,compute-004,be5-port0,server,be-rail-leaf-06,E1/2/2,leaf
44,20618,connected,,,compute-004,be6-port0,server,be-rail-leaf-07,E1/2/2,leaf
44,20619,connected,,,compute-004,be7-port0,server,be-rail-leaf-08,E1/2/2,leaf
44,20620,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
44,20621,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
44,20622,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
44,20623,connected,,,compute-005,be1-port0,server,be-rail-leaf-02,E1/3/1,leaf
44,20624,connected,,,compute-005,be2-port0,server,be-rail-leaf-03,E1/3/1,leaf
44,20625,connected,,,compute-005,be3-port0,server,be-rail-leaf-04,E1/3/1,leaf
44,20626,connected,,,compute-005,be4-port0,server,be-rail-leaf-05,E1/3/1,leaf
44,20627,connected,,,compute-005,be5-port0,server,be-rail-leaf-06,E1/3/1,leaf
44,20628,connected,,,compute-005,be6-port0,server,be-rail-leaf-07,E1/3/1,leaf
44,20629,connected,,,compute-005,be7-port0,server,be-rail-leaf-08,E1/3/1,leaf
44,20630,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
44,20631,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
44,20632,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/3/2,leaf
44,20633,connected,,,compute-006,be1-port0,server,be-rail-leaf-02,E1/3/2,leaf
44,20634,connected,,,compute-006,be2-port0,server,be-rail-leaf-03,E1/3/2,leaf
44,20635,connected,,,compute-006,be3-port0,server,be-rail-leaf-04,E1/3/2,leaf
44,20636,connected,,,compute-006,be4-port0,server,be-rail-leaf-05,E1/3/2,leaf
44,20637,connected,,,compute-006,be5-port0,server,be-rail-leaf-06,E1/3/2,leaf
44,20638,connected,,,compute-006,be6-port0,server,be-rail-leaf-07,E1/3/2,leaf
44,20639,connected,,,compute-006,be7-port0,server,be-rail-leaf-08,E1/3/2,leaf
44,20640,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
44,20641,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
44,20642,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/4/1,leaf
44,20643,connected,,,compute-007,be1-port0,server,be-rail-leaf-02,E1/4/1,leaf
44,20644,connected,,,compute-007,be2-port0,server,be-rail-leaf-03,E1/4/1,leaf
44,20645,connected,,,compute-007,be3-port0,server,be-rail-leaf-04,E1/4/1,leaf
44,20646,connected,,,compute-007,be4-port0,server,be-rail-leaf-05,E1/4/1,leaf
44,20647,connected,,,compute-007,be5-port0,server,be-rail-leaf-06,E1/4/1,leaf
44,20648,connected,,,compute-007,be6-port0,server,be-rail-leaf-07,E1/4/1,leaf
44,20649,connected,,,compute-007,be7-port0,server,be-rail-leaf-08,E1/4/1,leaf
44,20650,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
44,20651,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
44,20652,connected,,,compute-008,be0-port0,server,be-rail-leaf-01,E1/4/2,leaf
44,20653,connected,,,compute-008,be1-port0,server,be-rail-leaf-02,E1/4/2,leaf
44,20654,connected,,,compute-008,be2-port0,server,be-rail-leaf-03,E1/4/2,leaf
44,20655,connected,,,compute-008,be3-port0,server,be-rail-leaf-04,E1/4/2,leaf
44,20656,connected,,,compute-008,be4-port0,server,be-rail-leaf-05,E1/4/2,leaf
44,20657,connected,,,compute-008,be5-port0,server,be-rail-leaf-06,E1/4/2,leaf
44,20658,connected,,,compute-008,be6-port0,server,be-rail-leaf-07,E1/4/2,leaf
44,20659,connected,,,compute-008,be7-port0,server,be-rail-leaf-08,E1/4/2,leaf
44,20660,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
44,20661,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
44,20662,connected,,,compute-009,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
44,20663,connected,,,compute-009,be1-port0,server,be-rail-leaf-02,E1/5/1,leaf
44,20664,connected,,,compute-009,be2-port0,server,be-rail-leaf-03,E1/5/1,leaf
44,20665,connected,,,compute-009,be3-port0,server,be-rail-leaf-04,E1/5/1,leaf
44,20666,connected,,,compute-009,be4-port0,server,be-rail-leaf-05,E1/5/1,leaf
44,20667,connected,,,compute-009,be5-port0,server,be-rail-leaf-06,E1/5/1,leaf
44,20668,connected,,,compute-009,be6-port0,server,be-rail-leaf-07,E1/5/1,leaf
44,20669,connected,,,compute-009,be7-port0,server,be-rail-leaf-08,E1/5/1,leaf
44,20670,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
44,20671,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
44,20672,connected,,,compute-010,be0-port0,server,be-rail-leaf-01,E1/5/2,leaf
44,20673,connected,,,compute-010,be1-port0,server,be-rail-leaf-02,E1/5/2,leaf
44,20674,connected,,,compute-010,be2-port0,server,be-rail-leaf-03,E1/5/2,leaf
44,20675,connected,,,compute-010,be3-port0,server,be-rail-leaf-04,E1/5/2,leaf
44,20676,connected,,,compute-010,be4-port0,server,be-rail-leaf-05,E1/5/2,leaf
44,20677,connected,,,compute-010,be5-port0,server,be-rail-leaf-06,E1/5/2,leaf
44,20678,connected,,,compute-010,be6-port0,server,be-rail-leaf-07,E1/5/2,leaf
44,20679,connected,,,compute-010,be7-port0,server,be-rail-leaf-08,E1/5/2,leaf
44,20680,connected,,,compute-010,fe-p0,server,fe-leaf-01,E1/5/2,leaf
44,20681,connected,,,compute-010,fe-p1,server,fe-leaf-02,E1/5/2,leaf
44,20682,connected,,,compute-011,be0-port0,server,be-rail-leaf-01,E1/6/1,leaf
44,20683,connected,,,compute-011,be1-port0,server,be-rail-leaf-02,E1/6/1,leaf
44,20684,connected,,,compute-011,be2-port0,server,be-rail-leaf-03,E1/6/1,leaf
44,20685,connected,,,compute-011,be3-port0,server,be-rail-leaf-04,E1/6/1,leaf
44,20686,connected,,,compute-011,be4-port0,server,be-rail-leaf-05,E1/6/1,leaf
44,20687,connected,,,compute-011,be5-port0,server,be-rail-leaf-06,E1/6/1,leaf
44,20688,connected,,,compute-011,be6-port0,server,be-rail-leaf-07,E1/6/1,leaf
44,20689,connected,,,compute-011,be7-port0,server,be-rail-leaf-08,E1/6/1,leaf
44,20690,connected,,,compute-011,fe-p0,server,fe-leaf-01,E1/5/3,leaf
44,20691,connected,,,compute-011,fe-p1,server,fe-leaf-02,E1/5/3,leaf
44,20692,connected,,,compute-012,be0-port0,server,be-rail-leaf-01,E1/6/2,leaf
44,20693,connected,,,compute-012,be1-port0,server,be-rail-leaf-02,E1/6/2,leaf
44,20694,connected,,,compute-012,be2-port0,server,be-rail-leaf-03,E1/6/2,leaf
44,20695,connected,,,compute-012,be3-port0,server,be-rail-leaf-04,E1/6/2,leaf
44,20696,connected,,,compute-012,be4-port0,server,be-rail-leaf-05,E1/6/2,leaf
44,20697,connected,,,compute-012,be5-port0,server,be-rail-leaf-06,E1/6/2,leaf
44,20698,connected,,,compute-012,be6-port0,server,be-rail-leaf-07,E1/6/2,leaf
44,20699,connected,,,compute-012,be7-port0,server,be-rail-leaf-08,E1/6/2,leaf
44,20700,connected,,,compute-012,fe-p0,server,fe-leaf-01,E1/5/4,leaf
44,20701,connected,,,compute-012,fe-p1,server,fe-leaf-02,E1/5/4,leaf
44,20702,connected,,,compute-013,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
44,20703,connected,,,compute-013,be1-port0,server,be-rail-leaf-02,E1/7/1,leaf
44,20704,connected,,,compute-013,be2-port0,server,be-rail-leaf-03,E1/7/1,leaf
44,20705,connected,,,compute-013,be3-port0,server,be-rail-leaf-04,E1/7/1,leaf
44,20706,connected,,,compute-013,be4-port0,server,be-rail-leaf-05,E1/7/1,leaf
44,20707,connected,,,compute-013,be5-port0,server,be-rail-leaf-06,E1/7/1,leaf
44,20708,connected,,,compute-013,be6-port0,server,be-rail-leaf-07,E1/7/1,leaf
