plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
75,44678,connected,,,compute-001,be0-port0,server,be-leaf-01,E1/1/1,leaf
75,44679,connected,,,compute-001,be1-port0,server,be-leaf-02,E1/1/1,leaf
75,44680,connected,,,compute-001,be2-port0,server,be-leaf-03,E1/1/1,leaf
75,44681,connected,,,compute-001,be3-port0,server,be-leaf-04,E1/1/1,leaf
75,44682,connected,,,compute-001,be4-port0,server,be-leaf-05,E1/1/1,leaf
75,44683,connected,,,compute-001,be5-port0,server,be-leaf-06,E1/1/1,leaf
75,44684,connected,,,compute-001,be6-port0,server,be-leaf-07,E1/1/1,leaf
75,44685,connected,,,compute-001,be7-port0,server,be-leaf-08,E1/1/1,leaf
75,44686,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
75,44687,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
75,44688,connected,,,compute-002,be0-port0,server,be-leaf-01,E1/1/2,leaf
75,44689,connected,,,compute-002,be1-port0,server,be-leaf-02,E1/1/2,leaf
75,44690,connected,,,compute-002,be2-port0,server,be-leaf-03,E1/1/2,leaf
75,44691,connected,,,compute-002,be3-port0,server,be-leaf-04,E1/1/2,leaf
75,44692,connected,,,compute-002,be4-port0,server,be-leaf-05,E1/1/2,leaf
75,44693,connected,,,compute-002,be5-port0,server,be-leaf-06,E1/1/2,leaf
75,44694,connected,,,compute-002,be6-port0,server,be-leaf-07,E1/1/2,leaf
75,44695,connected,,,compute-002,be7-port0,server,be-leaf-08,E1/1/2,leaf
75,44696,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
75,44697,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
75,44698,connected,,,compute-003,be0-port0,server,be-leaf-01,E1/2/1,leaf
75,44699,connected,,,compute-003,be1-port0,server,be-leaf-02,E1/2/1,leaf
75,44700,connected,,,compute-003,be2-port0,server,be-leaf-03,E1/2/1,leaf
75,44701,connected,,,compute-003,be3-port0,server,be-leaf-04,E1/2/1,leaf
75,44702,connected,,,compute-003,be4-port0,server,be-leaf-05,E1/2/1,leaf
75,44703,connected,,,compute-003,be5-port0,server,be-leaf-06,E1/2/1,leaf
75,44704,connected,,,compute-003,be6-port0,server,be-leaf-07,E1/2/1,leaf
75,44705,connected,,,compute-003,be7-port0,server,be-leaf-08,E1/2/1,leaf
75,44706,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
75,44707,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
75,44708,connected,,,compute-004,be0-port0,server,be-leaf-01,E1/2/2,leaf
75,44709,connected,,,compute-004,be1-port0,server,be-leaf-02,E1/2/2,leaf
75,44710,connected,,,compute-004,be2-port0,server,be-leaf-03,E1/2/2,leaf
75,44711,connected,,,compute-004,be3-port0,server,be-leaf-04,E1/2/2,leaf
75,44712,connected,,,compute-004,be4-port0,server,be-leaf-05,E1/2/2,leaf
75,44713,connected,,,compute-004,be5-port0,server,be-leaf-06,E1/2/2,leaf
75,44714,connected,,,compute-004,be6-port0,server,be-leaf-07,E1/2/2,leaf
75,44715,connected,,,compute-004,be7-port0,server,be-leaf-08,E1/2/2,leaf
75,44716,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
75,44717,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
75,44718,connected,,,compute-005,be0-port0,server,be-leaf-01,E1/3/1,leaf
75,44719,connected,,,compute-005,be1-port0,server,be-leaf-02,E1/3/1,leaf
